名前,性別,生年月日,国語,数学,英語
柴田 通,男,1994/10/08,100,39,65
矢野 周,男,1976/09/02,46,53,20
三好 孝成,男,1984/09/09,44,81,66
菅 義子,女,1975/07/01,74,34,48
町田 征輝,男,1978/06/17,31,82,58
小山 勝信,男,1974/03/30,14,15,19
沢田 理香,女,1993/02/08,42,21,83
泉 浩一郎,男,1980/05/16,23,46,44
山内 直幸,男,1970/03/09,64,80,99
小坂 昭良,男,1973/08/16,23,93,54
三上 定行,男,1992/07/11,79,10,79
南 一典,男,1971/08/07,48,56,47
三谷 陽一郎,男,1970/03/29,13,59,78
荻野 保行,男,1983/08/31,60,43,87
大崎 善二,男,1979/03/04,17,89,10
菅 康伸,男,1989/12/16,99,29,19
西原 裕史,男,1975/05/11,69,98,86
田上 朋,女,1983/10/04,73,32,38
内藤 直幸,男,1972/05/10,95,30,52
菅野 訓,男,1978/05/14,31,37,35
中谷 尚平,男,1982/04/29,40,79,61
安部 勇,女,1971/08/06,88,71,30
亀井 茂也,男,1986/09/05,43,36,42
篠崎 望,女,1992/01/25,53,91,58
浅井 英則,男,1981/03/19,22,44,19
木村 明博,男,1984/02/03,11,68,81
北村 茂信,男,1993/01/27,92,92,16
松崎 良弥,男,1974/08/31,32,33,87
菅原 輝政,男,1975/06/02,47,58,23
辻 多恵子,女,1994/03/28,85,91,16
萩原 宗司,男,1970/03/07,72,61,88
谷本 勇四郎,男,1990/03/18,79,43,15
大槻 美海,女,1994/10/22,40,14,28
奥田 護,男,1983/02/18,73,96,100
堀内 聖誉,男,1971/04/24,45,34,41
藤野 沢子,女,1982/06/08,62,60,49
山本 洋和,男,1988/10/04,88,83,13
福永 厚哉,男,1983/06/08,50,11,26
松崎 敬,男,1974/02/03,43,81,25
松村 芙美,女,1972/01/24,81,68,69
大村 朗夫,男,1973/08/12,43,13,98
鎌田 とく子,女,1986/05/18,30,76,33
小山 健生,男,1987/12/26,14,58,63
小坂 梅太郎,男,1989/09/23,87,54,36
梅田 麻琴,女,1984/12/18,92,60,52
宇野 栄理子,女,1985/11/11,14,76,11
比嘉 安民,男,1994/01/23,73,61,99
内藤 多恵子,女,1970/01/05,26,38,57
稲田 雄一郎,男,1972/10/06,14,30,25
藤沢 政治,男,1988/12/14,44,42,33
安田 佑治,男,1978/10/06,38,81,66
藤村 良弥,男,1974/11/01,45,68,11
内藤 重則,男,1984/11/19,13,32,37
鶴田 美次,男,1978/03/09,68,60,13
小山 世弥,男,1982/07/31,36,77,47
吉田 定二,男,1973/03/24,40,86,12
榎本 正進,男,1975/12/03,24,11,93
松野 征吾,男,1976/09/03,12,75,79
関根 広明,男,1984/03/19,100,70,53
福本 一馬,男,1973/01/26,96,19,35
永井 孝敏,男,1982/08/26,52,83,95
谷 真希,女,1982/10/26,42,48,17
田上 君吉,男,1992/06/21,19,51,65
武井 澄,女,1990/07/28,50,44,80
島田 梨華,女,1985/09/26,37,38,65
杉原 寿彦,男,1992/12/07,55,73,46
上村 菊子,女,1992/07/16,71,60,38
五十嵐 有,男,1993/03/08,92,29,25
島田 義郎,男,1986/01/13,41,39,49
