名前,性別,生年月日,国語,数学,英語
村上 房実,女,1975/06/28,38,64,85
森田 和帰子,女,1975/04/12,92,80,94
森岡 多紀子,女,1974/08/23,32,20,24
植田 友子,女,1974/08/16,47,55,87
古田 豊秋,男,1988/07/24,51,63,67
神谷 有,男,1986/10/31,91,66,89
新田 幹也,男,1991/09/04,27,29,47
安田 正次,男,1976/05/12,65,64,97
荒井 斎,男,1984/06/26,77,11,70
川本 利克,男,1994/03/29,64,44,13
渡辺 恒之,男,1989/06/01,89,90,85
松村 友,女,1976/03/17,100,53,59
西沢 佐千雄,男,1992/03/26,13,76,90
松本 芳尚,男,1993/03/18,93,10,100
五十嵐 保平,男,1988/01/27,79,43,26
上村 美世,女,1980/04/16,48,78,54
徳田 るり子,女,1987/11/16,100,91,81
川島 美喜夫,男,1973/06/03,44,33,39
津田 喜代信,男,1974/03/22,52,74,87
西原 智勝,男,1976/12/29,56,91,52
北村 雄樹,男,1987/08/21,88,24,27
日野 多美子,女,1976/10/09,14,57,99
白川 幸四郎,男,1981/10/10,87,88,38
村瀬 雄樹,男,1976/08/12,69,29,84
久保 愛作,男,1970/10/30,17,39,66
千田 是則,男,1992/06/30,48,29,32
原口 梨枝子,女,1987/11/29,76,58,48
甲斐 健児,男,1992/08/12,73,41,38
古賀 秋美,女,1971/05/12,89,71,20
大内 美樹,女,1976/10/20,24,25,16
比嘉 常一,男,1986/03/24,15,32,84
小泉 達生,男,1981/11/14,81,84,42
岡野 拓夫,男,1992/07/15,64,47,74
西村 辰己,男,1978/03/01,31,93,63
桜井 茂一,男,1984/06/30,36,19,61
黒川 良秋,男,1979/12/05,53,22,40
伊東 運吉,男,1975/04/18,46,44,80
武藤 千絵子,女,1983/06/27,45,59,25
小野寺 里江子,女,1988/02/09,34,47,16
塚田 美波留,女,1988/11/03,91,20,50
小松 浩史,男,1984/02/19,79,83,17
村瀬 孝秀,男,1994/03/16,41,100,50
栗田 満生,男,1974/12/27,83,36,11
長谷川 悠里,女,1971/09/26,69,68,25
長岡 秀一,男,1990/07/16,91,31,37
白石 好博,男,1976/04/16,45,18,72
臼井 美紀,女,1990/08/11,95,13,27
